embedding_id,text_sha256,text,roles,dimensions,l2_norm
embedding_00001,98744b6294094b1b98cd05401ecea5899e236db754231dc4a17648cebe27128a,A competent patient experiencing unbearable suffering requests medical assistance to die.,query:critical,3072,1.0000989437103271
embedding_00002,00c7854e62608c6f04947495d2f5e188cac71879e13618a1f0bb8df7976bd4cf,"A disciplinary account of Church emphasizes a formally organised religious institution with leadership, property, membership, and administration.",reference:comparison,3072,0.9998027682304382
embedding_00003,d172707a6496713891268f73a640b7c0a72acb8b51ae888337d66053b535a7cc,A disciplinary account of Eucharist emphasizes a communal meal that symbolically remembers a religious founder or event.,reference:comparison,3072,1.0003429651260376
embedding_00004,5ebdd5cd9b01885787208fb83d931c6b802e3ffbfd3bd751528a743341fe734b,A disciplinary account of agape emphasizes unselfish concern expressed through beneficial action toward others.,reference:comparison,3072,1.0002425909042358
embedding_00005,c07ecb38fee46ae6d89026890bd5e5f44d47482dd003543473a661dbdd3cfcf7,"A disciplinary account of atonement emphasizes compensation, apology, or corrective action intended to repair harm.",reference:comparison,3072,0.9997091889381409
embedding_00006,e34020929d477b9b4fcc504a3a284002dd1d61b0d307d5ee00ba255a9e838795,A disciplinary account of autonomy emphasizes independent control over one's choices and life plans.,reference:comparison,3072,0.9997479319572449
embedding_00007,77116c14658c649cddc7d02c9a384e4416ebfb1f7a5dbdcb93d22615cec6ad13,A disciplinary account of baptism emphasizes a ritual marking entry into a religious community.,reference:comparison,3072,0.9997826218605042
embedding_00008,85f039b7b1df37589519d66dbccfae3390d5bf9fe98f9fa760d2f0a445a9d720,"A disciplinary account of body emphasizes an organism composed of cells, organs, tissues, and physiological systems.",reference:comparison,3072,0.9994502067565918
embedding_00009,43d5d229c06ef44cd7cf49fc13f3d5373d9ac24c6abae2776cf1163b81c32a4e,A disciplinary account of care emphasizes provision of professional services intended to maintain or restore health.,reference:comparison,3072,1.0000367164611816
embedding_00010,8c981b7fdb901e79e3480725dc983b37ebbf54d9426e07b4b125b9735f532ac5,A disciplinary account of caritas emphasizes donation or organised relief activity directed toward people in need.,reference:comparison,3072,1.000458836555481
embedding_00011,c2cb18b234b30d02b1495338df2bf6cf23806a49ec37ca7fa16d68db7228b1d8,A disciplinary account of celibacy emphasizes the condition of being unmarried or abstaining from sexual relationships.,reference:comparison,3072,1.0001431703567505
embedding_00012,7192cf34a6e7b04184bf5ba6508c2cb628d974e5c5b328fb94c90baad0ddc005,"A disciplinary account of charity emphasizes voluntary donation of money, goods, or services to social causes.",reference:comparison,3072,0.9999372363090515
embedding_00013,d38f73ff9a1fd6588a5cc47d563d56c0ece7e840e17f332d5ef4a7769b884424,A disciplinary account of chastity emphasizes refraining from sexual activity or limiting specified sexual behaviours.,reference:comparison,3072,1.0000641345977783
embedding_00014,26311e5b276817117942171f555d41e9442ef6b65a1f70424e6fa47e025314f6,"A disciplinary account of common good emphasizes the summed welfare, preferences, or measurable benefits of a population.",reference:comparison,3072,0.9999213218688965
embedding_00015,544104a7be9a544e9abbd5e37a08f3393c94905f9ae857f2b14100e65d61c008,"A disciplinary account of communion emphasizes a feeling of fellowship, closeness, and shared social identity.",reference:comparison,3072,1.0004979372024536
embedding_00016,12fc1bed2bb078e0e1bd466d444c8013c44e5fac2615f7f9173370c51ef1b862,A disciplinary account of communion of saints emphasizes cultural or religious remembrance of deceased ancestors and exemplary community members.,reference:comparison,3072,0.9999761581420898
embedding_00017,7c91bb13886b9ff43799b11e58c0421f2859e8cba42994ae68e651f98e5b4abd,"A disciplinary account of community emphasizes a group formed through shared interests, identity, location, or activity.",reference:comparison,3072,1.0000560283660889
embedding_00018,9adb3b9c1346a6cc7fdd55a0ce1d22482b1ce85d31c93d601c9bd0cb08d89029,A disciplinary account of compassion emphasizes emotional concern for distress that motivates supportive behaviour.,reference:comparison,3072,1.0001496076583862
embedding_00019,99b53db7bc2374db116d89ccc20ea4723be42bca759c86ec9d71b4348cba3903,A disciplinary account of conscience emphasizes private preference and personal sincerity as sufficient moral authority.,reference:comparison,3072,0.9995630979537964
embedding_00020,4e8ee7dc3a093af623f679bdd5958ab069ba0cf8b606e9d0968565998ea1120c,"A disciplinary account of conversion emphasizes a change in belief, affiliation, preference, or practical position.",reference:comparison,3072,1.0003154277801514
embedding_00021,3b2afd9c3bcbd045dd033f67ecba82d72d8ef4544687870b8a3ecfec3aa387fe,"A disciplinary account of creation emphasizes physical accounts of the universe's origin, development, and structure.",reference:comparison,3072,0.9999368786811829
embedding_00022,862b2db81774dcae384ae1a724ab51518fd0fd36c5884f3d1c27b6cfd0be8d66,A disciplinary account of death emphasizes irreversible cessation of integrated vital biological functions.,reference:comparison,3072,0.9997135400772095
embedding_00023,8daffa20961979469dc02659b6421bc6c96ccecc7a57d3dc8bd6c4e2f15e8b6b,A disciplinary account of dependence emphasizes need for assistance because independent functioning or decision-making is limited.,reference:comparison,3072,1.0004231929779053
embedding_00024,05560988c914dfce84b9336bc02028b34c9e4ff3c8d26c77f0ca2c91f8b2ec16,"A disciplinary account of disability emphasizes limitations in bodily, sensory, cognitive, or social functioning.",reference:comparison,3072,0.9996217489242554
embedding_00025,28fd8c3c4ddacf85875e594ea2dafcb07afde2ec10825e452a139464aaafe2dd,"A disciplinary account of discernment emphasizes evaluation of options, evidence, risks, and expected outcomes.",reference:comparison,3072,1.0001143217086792
embedding_00026,fc758c340272e73e9507dccb16433bf80323249cc61838fe661cdf4ebd1b8370,"A disciplinary account of divine providence emphasizes events attributed primarily to luck, random occurrence, or impersonal circumstance.",reference:comparison,3072,0.9996128082275391
embedding_00027,9971059dd2cd2eb4c9d1bc8c394d9852c4bc218e2569a338f3b1ba2180f8ea6f,"A disciplinary account of doctrine emphasizes an organisation's formally stated policy, strategic position, or governing principle.",reference:comparison,3072,1.0004150867462158
embedding_00028,c7b9be7817d628cf4c491f528fff6f04cd690b56da7b38690a5c171178848636,A disciplinary account of dying emphasizes progressive physiological failure associated with terminal illness.,reference:comparison,3072,0.9995740056037903
embedding_00029,5e9ba767f91ea83f13cda684cf00d23c7813cba470a5cc5a5b463a48fce6c911,A disciplinary account of embodiment emphasizes subjective experience of perceiving and acting through a body.,reference:comparison,3072,1.0002328157424927
embedding_00030,9ce52cb39b97ae461953f796a1ff7210d9997a2ec237330178bddac7a926ad9d,"A disciplinary account of eros emphasizes romantic attraction, sexual desire, and longing for intimate union.",reference:comparison,3072,1.0003035068511963
embedding_00031,4ea5679648d4173e43dd7ca1029e143aa7850b8094deb451f0f5cf3b9ac063e1,A disciplinary account of eternal life emphasizes continued biological survival or lifespan extension without a defined endpoint.,reference:comparison,3072,1.000159502029419
embedding_00032,31e9c1b70f08510a29c0aa8cb9d3b37ba6c411999af3ca1d66dc8fbc7d3db154,A disciplinary account of euthanasia emphasizes a competent person's autonomous request for medical assistance to end life.,reference:comparison,3072,0.9994824528694153
embedding_00033,2316a26db5e226620ee1dd283512c12679504bd866c18f506cff2e31c58198f3,A disciplinary account of faith emphasizes acceptance of a proposition or confidence in a person without requiring complete evidence.,reference:comparison,3072,1.0001274347305298
embedding_00034,b9c2ccb288051c60c5529215602c15733098c6ed3a0feb20c0742092aa91de6e,A disciplinary account of family emphasizes a household or kinship network described through social roles and residence.,reference:comparison,3072,1.0001689195632935
embedding_00035,a181fca446cae5fc88aed5bb44551bf0a567596a26cd095b7ffc413838b1c234,"A disciplinary account of flourishing emphasizes wellbeing, resilience, positive functioning, and personal growth.",reference:comparison,3072,1.0001370906829834
embedding_00036,f01a70ef8994bf8a3c064d3c3435d188cb8ecab6ff533af6edefabaa43eb184b,"A disciplinary account of forgiveness emphasizes reduction of resentment, anger, and distress associated with an offence.",reference:comparison,3072,0.9998472332954407
embedding_00037,7bac3d54d951eb0c1eadb0d0c0c3c88a129016aded35d8e5cd3e0aa3f5cf351c,A disciplinary account of fortitude emphasizes capacity to recover and maintain functioning under stress.,reference:comparison,3072,1.0004899501800537
embedding_00038,014d0fe24d9192a0547045aa24c6db602b67c256a6d650b1a3d6a08249d5cd2d,A disciplinary account of freedom emphasizes individual self-determination and control over personal decisions.,reference:comparison,3072,1.000231146812439
embedding_00039,95940b61a28a55740f56e2353ba2f78de351e9d12e9d8e9d2828c2341b74aab2,A disciplinary account of friendship emphasizes a voluntary interpersonal relationship involving affection and shared activity.,reference:comparison,3072,1.0001662969589233
embedding_00040,07df082651e4d3e55677233c0452a34f3607fb30980b3de11b7a2c39a92c02fe,"A disciplinary account of goodness emphasizes helpful conduct, social approval, and beneficial outcomes.",reference:comparison,3072,0.9998713135719299
embedding_00041,45371f2223cdb5f95814111209a8184cc12af000d971aab0f76b0b2cd6122e9f,"A disciplinary account of grace emphasizes elegance of movement, poise, courtesy, and social charm.",reference:comparison,3072,1.0001384019851685
embedding_00042,ee256c0446f98c1347fe834197f0e8b3ddf08d3415525670fbf32c89a42e6fc6,"A disciplinary account of grief emphasizes emotional, cognitive, behavioural, and social adaptation following loss.",reference:comparison,3072,0.9997693300247192
embedding_00043,31175575f1b1b6f0d8a5209fa4598396ec534bb4b66b6317720ea0b13391b594,A disciplinary account of guilt emphasizes an aversive emotion arising from perceived responsibility for wrongdoing.,reference:comparison,3072,0.9996546506881714
