query_id,audit_id,concept,primary_locus,life_death_module,comparison_register,relationship_type,condition,query_text,s_c,s_r,cas,top_reference_id,top_reference_group,top_reference_text,top_reference_similarity,nearest_catholic_reference_id,nearest_catholic_reference_text,nearest_catholic_similarity,nearest_catholic_rank,nearest_comparison_reference_id,nearest_comparison_reference_text,nearest_comparison_similarity,nearest_comparison_rank,paraphrase_id,baseline_query_id,contrast_type,review_status
freedom_autonomy_bare_p1,freedom_autonomy,freedom,Freedom Truth and Moral Teleology,false,autonomy and self-determination,valid_but_partial,bare,freedom,0.38794290102270085,0.46099836995519555,-0.0730554689324947,freedom_autonomy_r_3,comparison,"Within this comparison field, freedom is described through individual self-determination and control over personal decisions.",0.5204553172365506,freedom_autonomy_c_1,"In a Catholic theological account, freedom concerns choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.4174686857055928,3,freedom_autonomy_r_3,"Within this comparison field, freedom is described through individual self-determination and control over personal decisions.",0.5204553172365506,1,p1,,,generated_unreviewed
freedom_autonomy_natural_general_p1,freedom_autonomy,freedom,Freedom Truth and Moral Teleology,false,autonomy and self-determination,valid_but_partial,natural_general,Freedom may be described through individual self-determination and control over personal decisions.,0.45544494949278697,0.7213338719665442,-0.2658889224737572,freedom_autonomy_r_3,comparison,"Within this comparison field, freedom is described through individual self-determination and control over personal decisions.",0.7927867364213433,freedom_autonomy_c_1,"In a Catholic theological account, freedom concerns choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.46364621068422496,4,freedom_autonomy_r_3,"Within this comparison field, freedom is described through individual self-determination and control over personal decisions.",0.7927867364213433,1,p1,freedom_autonomy_bare_p1,bare_to_general,generated_unreviewed
freedom_autonomy_natural_general_p2,freedom_autonomy,freedom,Freedom Truth and Moral Teleology,false,autonomy and self-determination,valid_but_partial,natural_general,"In a contemporary disciplinary account, freedom involves individual self-determination and control over personal decisions.",0.4817615635159569,0.7284908158261687,-0.2467292523102118,freedom_autonomy_r_2,comparison,A disciplinary account of freedom emphasizes individual self-determination and control over personal decisions.,0.9053904720233932,freedom_autonomy_c_1,"In a Catholic theological account, freedom concerns choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.5265654391236467,4,freedom_autonomy_r_2,A disciplinary account of freedom emphasizes individual self-determination and control over personal decisions.,0.9053904720233932,1,p2,freedom_autonomy_bare_p1,bare_to_general,generated_unreviewed
freedom_autonomy_natural_general_p3,freedom_autonomy,freedom,Freedom Truth and Moral Teleology,false,autonomy and self-determination,valid_but_partial,natural_general,A discussion of freedom focuses on individual self-determination and control over personal decisions.,0.45872255231699227,0.7283329362304699,-0.26961038391347764,freedom_autonomy_r_2,comparison,A disciplinary account of freedom emphasizes individual self-determination and control over personal decisions.,0.7617835988557708,freedom_autonomy_c_2,"Catholic reflection on freedom emphasizes choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.4804316639261432,4,freedom_autonomy_r_2,A disciplinary account of freedom emphasizes individual self-determination and control over personal decisions.,0.7617835988557708,1,p3,freedom_autonomy_bare_p1,bare_to_general,generated_unreviewed
freedom_autonomy_natural_ambiguous_p1,freedom_autonomy,freedom,Freedom Truth and Moral Teleology,false,autonomy and self-determination,valid_but_partial,natural_ambiguous,"What does freedom mean when moral, social, and theological perspectives may all be involved?",0.5159112368133949,0.4389907374466633,0.07692049936673162,freedom_autonomy_c_1,catholic,"In a Catholic theological account, freedom concerns choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.5553448537904908,freedom_autonomy_c_1,"In a Catholic theological account, freedom concerns choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.5553448537904908,1,freedom_autonomy_r_3,"Within this comparison field, freedom is described through individual self-determination and control over personal decisions.",0.4513244392597542,4,p1,freedom_autonomy_natural_general_p1,general_to_ambiguous,generated_unreviewed
freedom_autonomy_natural_ambiguous_p2,freedom_autonomy,freedom,Freedom Truth and Moral Teleology,false,autonomy and self-determination,valid_but_partial,natural_ambiguous,How should a person understand freedom when more than one semantic register may be relevant?,0.37478847222382106,0.46078852755844285,-0.0860000553346218,freedom_autonomy_r_1,comparison,"In the specified comparison register, freedom concerns individual self-determination and control over personal decisions.",0.5112736605665333,freedom_autonomy_c_1,"In a Catholic theological account, freedom concerns choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.3873803055805321,4,freedom_autonomy_r_1,"In the specified comparison register, freedom concerns individual self-determination and control over personal decisions.",0.5112736605665333,1,p2,freedom_autonomy_natural_general_p2,general_to_ambiguous,generated_unreviewed
freedom_autonomy_natural_ambiguous_p3,freedom_autonomy,freedom,Freedom Truth and Moral Teleology,false,autonomy and self-determination,valid_but_partial,natural_ambiguous,Which dimensions of freedom matter when its meaning is not fully specified?,0.37767933546547416,0.4480647870865558,-0.07038545162108162,freedom_autonomy_r_3,comparison,"Within this comparison field, freedom is described through individual self-determination and control over personal decisions.",0.4924700413747215,freedom_autonomy_c_1,"In a Catholic theological account, freedom concerns choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.3921443166996063,3,freedom_autonomy_r_3,"Within this comparison field, freedom is described through individual self-determination and control over personal decisions.",0.4924700413747215,1,p3,freedom_autonomy_natural_general_p3,general_to_ambiguous,generated_unreviewed
freedom_autonomy_label_free_theological_p1,freedom_autonomy,freedom,Freedom Truth and Moral Teleology,false,autonomy and self-determination,valid_but_partial,label_free_theological,"Freedom concerns choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.7278567714979672,0.4628153863763891,0.26504138512157815,freedom_autonomy_c_1,catholic,"In a Catholic theological account, freedom concerns choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.7637164591528556,freedom_autonomy_c_1,"In a Catholic theological account, freedom concerns choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.7637164591528556,1,freedom_autonomy_r_1,"In the specified comparison register, freedom concerns individual self-determination and control over personal decisions.",0.49252163509033886,4,p1,freedom_autonomy_natural_general_p1,general_to_label_free_theological,generated_unreviewed
freedom_autonomy_label_free_theological_p2,freedom_autonomy,freedom,Freedom Truth and Moral Teleology,false,autonomy and self-determination,valid_but_partial,label_free_theological,"Freedom is understood through choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.7988796623138271,0.4883135973344163,0.3105660649794108,freedom_autonomy_c_3,catholic,"Within Catholic thought, freedom is understood through choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.8406988776540469,freedom_autonomy_c_3,"Within Catholic thought, freedom is understood through choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.8406988776540469,1,freedom_autonomy_r_2,A disciplinary account of freedom emphasizes individual self-determination and control over personal decisions.,0.5190016865249443,4,p2,freedom_autonomy_natural_general_p2,general_to_label_free_theological,generated_unreviewed
freedom_autonomy_label_free_theological_p3,freedom_autonomy,freedom,Freedom Truth and Moral Teleology,false,autonomy and self-determination,valid_but_partial,label_free_theological,"An account of freedom emphasizes choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.779929801406848,0.5335113230930543,0.2464184783137937,freedom_autonomy_c_1,catholic,"In a Catholic theological account, freedom concerns choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.8240678156674567,freedom_autonomy_c_1,"In a Catholic theological account, freedom concerns choice ordered to truth and goodness, moral responsibility, and the person's final end.",0.8240678156674567,1,freedom_autonomy_r_2,A disciplinary account of freedom emphasizes individual self-determination and control over personal decisions.,0.649066060658302,4,p3,freedom_autonomy_natural_general_p3,general_to_label_free_theological,generated_unreviewed
